date,file_name,vt_title_en,vl_order,vl_row_id,heading,subject_of_the_amendment,am_no,author,rcv_etc,vote,remarks,vl_title_en
2024-11-14,VOLF EMPL-REGI 20240275COD RESTORE  Regional Emergency Support to Reconstruction [tbc]_EN.docx,Request for urgent procedure : RESTORE – Regional Emergency Support to Reconstruction amending Regulation (EU) 2021/1058 and Regulation (EU) 2021/1057 (C10-0147/2024),1,1,"",vote: request for urgent decision,"","","",+,Request by EMPL-REGI committee under Rule 170(5),
2024-11-14,VOLF AGRI 20240274COD EAFRD for natural disasters_[Vrecionova].docx,Request for urgent procedure : Specific measures under the European Agricultural Fund for Rural Development (EAFRD) to provide additional assistance to Member States affected by natural disasters (C10-0148/2024),2,1,"",vote: request for urgent decision,"","","",+,Request by AGRI committee under Rule 170(5),
2024-11-14,VOLF ENVI 20240249COD Deforestation Regulation date of application.docx,Deforestation Regulation: provisions relating to the date of application (C10-0119/2024),3,1,"","Article 1, § 1, before point 1Regulation (EU) 2023/1115",1,EPP,RCV,-,"EPP withdrew this AM
Recital deleting traders from the scope of obligations",
2024-11-14,VOLF ENVI 20240249COD Deforestation Regulation date of application.docx,Deforestation Regulation: provisions relating to the date of application (C10-0119/2024),3,2,"","Article 1, § 1, before point 1Regulation (EU) 2023/1115",2,EPP,RCV,-,"EPP withdrew this AM
Recital deleting traders from the scope of obligations",
2024-11-14,VOLF ENVI 20240249COD Deforestation Regulation date of application.docx,Deforestation Regulation: provisions relating to the date of application (C10-0119/2024),3,3,"","Article 1, § 1, before point 1Regulation (EU) 2023/1115",3,EPP,RCV,-,"Recital introducing a new """"no-risk"""" category within country benchmarking and a 4-tier system",
2024-11-14,VOLF ENVI 20240249COD Deforestation Regulation date of application.docx,Deforestation Regulation: provisions relating to the date of application (C10-0119/2024),3,4,"","Article 1, § 1, before point 1Regulation (EU) 2023/1115",4,EPP,RCV,free vote,"Recital prioritising optimisation of info exchange platform for stakeholders & authorities, publish risk classification at least 6 months prior entry into force, otherwise postponement",
2024-11-14,VOLF ENVI 20240249COD Deforestation Regulation date of application.docx,Deforestation Regulation: provisions relating to the date of application (C10-0119/2024),3,5,"","Article 1, § 1, before point 1Regulation (EU) 2023/1115",5,EPP,RCV,-,"application of art. 3 (prohibition of placing on market) only for low, standard, high risk countries (to exempt """"no risk"""" countries)",
2024-11-14,VOLF ENVI 20240249COD Deforestation Regulation date of application.docx,Deforestation Regulation: provisions relating to the date of application (C10-0119/2024),3,6,"","Article 1, § 1, before point 1Regulation (EU) 2023/1115",6,EPP,RCV,-,"new conditions for no risk countries: apply national legislation, requirement to provide documentation accord. to art. 9(2)a """"information requirements""""",
2024-11-14,VOLF ENVI 20240249COD Deforestation Regulation date of application.docx,Deforestation Regulation: provisions relating to the date of application (C10-0119/2024),3,7,"","Article 1, § 1, before point 1Regulation (EU) 2023/1115",7,EPP,RCV,-,exemption from art. 1-10 for products from no risk countries,
2024-11-14,VOLF ENVI 20240249COD Deforestation Regulation date of application.docx,Deforestation Regulation: provisions relating to the date of application (C10-0119/2024),3,8,"","Article 1, § 1, before point 1Regulation (EU) 2023/1115",8,EPP,RCV,-,"EPP withdrew this AM
all traders exempt (not just SMEs)",
2024-11-14,VOLF ENVI 20240249COD Deforestation Regulation date of application.docx,Deforestation Regulation: provisions relating to the date of application (C10-0119/2024),3,9,"","Article 1, § 1, before point 1Regulation (EU) 2023/1115",9,EPP,RCV,-,documentation requirement for products from no risk countries,
2024-11-14,VOLF ENVI 20240249COD Deforestation Regulation date of application.docx,Deforestation Regulation: provisions relating to the date of application (C10-0119/2024),3,10,"","Article 1, § 1, before point 1Regulation (EU) 2023/1115",10,EPP,RCV,-,annual checks for no risk countries down to 0.1%,
2024-11-14,VOLF ENVI 20240249COD Deforestation Regulation date of application.docx,Deforestation Regulation: provisions relating to the date of application (C10-0119/2024),3,11,"","Article 1, § 1, before point 1Regulation (EU) 2023/1115",11,EPP,RCV,-,Establishing the four-tier benchmarking (adding the no risk category),
2024-11-14,VOLF ENVI 20240249COD Deforestation Regulation date of application.docx,Deforestation Regulation: provisions relating to the date of application (C10-0119/2024),3,12,"","Article 1, § 1, after point 1Regulation (EU) 2023/1115Article 30, § 4",12,EPP,RCV,-,adding regular dialogue with WTO members,
2024-11-14,VOLF ENVI 20240249COD Deforestation Regulation date of application.docx,Deforestation Regulation: provisions relating to the date of application (C10-0119/2024),3,13,"","Article 1, § 1, point 2Regulation (EU) 2023/1115Article 37, § 2",13,EPP,RCV,-,"EPP withdrew this AM
postponement by 2 years for timber products until Dec. 2026",
2024-11-14,VOLF ENVI 20240249COD Deforestation Regulation date of application.docx,Deforestation Regulation: provisions relating to the date of application (C10-0119/2024),3,14,"","Article 1, § 1, point 3Regulation (EU) 2023/1115Article 38, § 2",14,EPP,RCV,-,"EPP withdrew this AM
2 years general postponement of the application until Dec. 2026",
2024-11-14,VOLF ENVI 20240249COD Deforestation Regulation date of application.docx,Deforestation Regulation: provisions relating to the date of application (C10-0119/2024),3,15,"","Article 1, § 1, point 3Regulation (EU) 2023/1115Article 38, § 3",15,EPP,RCV,-,"EPP withdrew this AM
micro and small businesses get 2 more years until 2027",
2024-11-14,VOLF ENVI 20240249COD Deforestation Regulation date of application.docx,Deforestation Regulation: provisions relating to the date of application (C10-0119/2024),3,16,"",vote: Commission proposal,"","",RCV,+,"If amendments 4 and 12 pass 
SUPPORT

If amendments 3, 5, 6, 7, 9, 10, 11 on no risk category pass: ABSTAIN
",
2024-11-14,VOLF ECON 20240152(CNS) Electronic value added tax exemption certificate [Lalucq].docx,Lalucq (A10-0012/2024) - Electronic value added tax exemption certificate,4,1,"",single vote,"","",RCV,+,"",
2024-11-14,VOLF ECON 20230187(CNS) Faster and Safer Relief of Excess Withholding Taxes [Dorfmann].docx,Dorfmann (A10-0011/2024) - Faster and Safer Relief of Excess Withholding Taxes,5,1,"",single vote,"","",RCV,+,"",
2024-11-14,VOLF BUDG 20240803CNS Amendment of the EIB's Statute [Streit]_EN.docx,Streit (A10-0013/2024) - Amendment of the EIB's Statute,6,1,"",vote: resolution (as a whole),"","",RCV,+,"",
2024-11-14,VOLF ENVI 20242718RSP UN Climate Change Conference 2024 in Baku (COP29) [Decaro Wiesner].docx,"UN Climate Change Conference 2024 in Baku, Azerbaijan (COP29)",7,1,"Motion for a resolution B10-0156/2024(Committee on the Environment, Public Health and Food Safety)",§ 1,10,ESN,RCV,-,ESN amendment opposing all climate policy,
2024-11-14,VOLF ENVI 20242718RSP UN Climate Change Conference 2024 in Baku (COP29) [Decaro Wiesner].docx,"UN Climate Change Conference 2024 in Baku, Azerbaijan (COP29)",7,2,"Motion for a resolution B10-0156/2024(Committee on the Environment, Public Health and Food Safety)",After § 1,11,ESN,RCV,-,ESN AM on revoking declaration on climate emergency,
2024-11-14,VOLF ENVI 20242718RSP UN Climate Change Conference 2024 in Baku (COP29) [Decaro Wiesner].docx,"UN Climate Change Conference 2024 in Baku, Azerbaijan (COP29)",7,3,"Motion for a resolution B10-0156/2024(Committee on the Environment, Public Health and Food Safety)",§ 24,§,original text,separate,+,"",
2024-11-14,VOLF ENVI 20242718RSP UN Climate Change Conference 2024 in Baku (COP29) [Decaro Wiesner].docx,"UN Climate Change Conference 2024 in Baku, Azerbaijan (COP29)",7,4,"Motion for a resolution B10-0156/2024(Committee on the Environment, Public Health and Food Safety)",§ 25,§,original text,separate,+,"",
