id,type,identifier,label,classification,linked_to,joint_committees_labs,altlabel_en,preflabel_en,temporal_id,temporal_end_date,temporal_start_date
org/7875,Organization,7875,CJ52,def/ep-entities/COMMITTEE_PARLIAMENTARY_JOINT,org/6579,IMCO,Joint EMPL - IMCO,Joint committee procedure - EMPL and IMCO,time-period/20241119,,2024-11-19
org/7875,Organization,7875,CJ52,def/ep-entities/COMMITTEE_PARLIAMENTARY_JOINT,org/6572,EMPL,Joint EMPL - IMCO,Joint committee procedure - EMPL and IMCO,time-period/20241119,,2024-11-19
org/6974,Organization,6974,CJ19,def/ep-entities/COMMITTEE_PARLIAMENTARY_JOINT,org/6562,AFET,Joint AFET - DEVE,Joint committee procedure - AFET and DEVE,time-period/20240716,,2024-07-16
org/6974,Organization,6974,CJ19,def/ep-entities/COMMITTEE_PARLIAMENTARY_JOINT,org/6563,DEVE,Joint AFET - DEVE,Joint committee procedure - AFET and DEVE,time-period/20240716,,2024-07-16
org/7007,Organization,7007,FISC,def/ep-entities/COMMITTEE_PARLIAMENTARY_SUB,,,Tax Matters,Subcommittee on Tax Matters,time-period/20240716,,2024-07-16
org/31,Organization,31,DEVE,def/ep-entities/COMMITTEE_PARLIAMENTARY_STANDING,,,Development and Cooperation,Committee on Development and Cooperation,time-period/19920115-19940718,1994-07-18,1992-01-15
org/6369,Organization,6369,DROI,def/ep-entities/COMMITTEE_PARLIAMENTARY_SUB,,,Human Rights,Subcommittee on Human Rights,time-period/20220120-20240715,2024-07-15,2022-01-20
org/37,Organization,37,LIBE,def/ep-entities/COMMITTEE_PARLIAMENTARY_STANDING,,,Civil Liberties and Internal Affairs,Committee on Civil Liberties and Internal Affairs,time-period/19920115-19940718,1994-07-18,1992-01-15
org/3966,Organization,3966,SEDE,def/ep-entities/COMMITTEE_PARLIAMENTARY_SUB,,,Security and Defence,Subcommittee on Security and Defence,time-period/20140701-20170118,2017-01-18,2014-07-01
org/5007,Organization,5007,CJ22,def/ep-entities/COMMITTEE_PARLIAMENTARY_JOINT,org/4974,AFCO,Joint JURI - AFCO,Procedure with joint meetings - JURI and AFCO,time-period/20170119-20190701,2019-07-01,2017-01-19
org/5007,Organization,5007,CJ22,def/ep-entities/COMMITTEE_PARLIAMENTARY_JOINT,org/4972,JURI,Joint JURI - AFCO,Procedure with joint meetings - JURI and AFCO,time-period/20170119-20190701,2019-07-01,2017-01-19
org/6964,Organization,6964,CJ09,def/ep-entities/COMMITTEE_PARLIAMENTARY_JOINT,org/6586,LIBE,Joint CONT - LIBE,Joint committee procedure - CONT and LIBE,time-period/20240716,,2024-07-16
org/6964,Organization,6964,CJ09,def/ep-entities/COMMITTEE_PARLIAMENTARY_JOINT,org/6568,CONT,Joint CONT - LIBE,Joint committee procedure - CONT and LIBE,time-period/20240716,,2024-07-16
org/35,Organization,35,FEMM,def/ep-entities/COMMITTEE_PARLIAMENTARY_STANDING,,,Women's Rights,Committee on Women's Rights,time-period/19920115-19940718,1994-07-18,1992-01-15
org/6567,Organization,6567,BUDG,def/ep-entities/COMMITTEE_PARLIAMENTARY_STANDING,,,Budgets,Committee on Budgets,time-period/20240716,,2024-07-16
org/6407,Organization,6407,CJ36,def/ep-entities/COMMITTEE_PARLIAMENTARY_JOINT,org/6358,ENVI,Joint ECON - ENVI,Joint committee procedure - ECON and ENVI,time-period/20220120-20240715,2024-07-15,2022-01-20
org/6407,Organization,6407,CJ36,def/ep-entities/COMMITTEE_PARLIAMENTARY_JOINT,org/6366,ECON,Joint ECON - ENVI,Joint committee procedure - ECON and ENVI,time-period/20220120-20240715,2024-07-15,2022-01-20
org/PETI,Organization,PETI,PETI,def/ep-entities/COMMITTEE_PARLIAMENTARY_STANDING,,,Petitions,Committee on Petitions,,,
org/TRAN,Organization,TRAN,TRAN,def/ep-entities/COMMITTEE_PARLIAMENTARY_STANDING,,,Transport and Tourism,Committee on Transport and Tourism,,,
org/RECH,Organization,RECH,RECH,def/ep-entities/COMMITTEE_PARLIAMENTARY_STANDING,,,Research,"Committee on Research, Technological Development and Energy",,,
org/5006,Organization,5006,CJ21,def/ep-entities/COMMITTEE_PARLIAMENTARY_JOINT,org/4975,FEMM,Joint EMPL - FEMM,Procedure with joint meetings - EMPL and FEMM,time-period/20170119-20190701,2019-07-01,2017-01-19
org/5006,Organization,5006,CJ21,def/ep-entities/COMMITTEE_PARLIAMENTARY_JOINT,org/4963,EMPL,Joint EMPL - FEMM,Procedure with joint meetings - EMPL and FEMM,time-period/20170119-20190701,2019-07-01,2017-01-19
org/15,Organization,15,INST,def/ep-entities/COMMITTEE_PARLIAMENTARY_STANDING,,,Institutional Affairs,Committee on Institutional Affairs,time-period/19890726-19920114,1992-01-14,1989-07-26
