identifier,label,temporal_id,temporal_start_date,alt_label_en,pref_label_en,alt_label_fr,pref_label_fr
6641,IL,time-period/20240716,2024-07-16,IL,Iniciativa Liberal,IL,Iniciativa Liberal
6649,JV,time-period/20240716,2024-07-16,JV,Jaunā Vienotība,JV,Jaunā Vienotība
6667,PSOE,time-period/20240716,2024-07-16,PSOE,Partido Socialista Obrero Español,PSOE,Partido Socialista Obrero Español
6671,VIHR,time-period/20240716,2024-07-16,VIHR,Vihreä liitto,VIHR,Vihreä liitto
6674,M5S,time-period/20240716,2024-07-16,M5S,Movimento 5 Stelle,M5S,Movimento 5 Stelle
6675,PD,time-period/20240716,2024-07-16,PD,Partito Democratico,PD,Partito Democratico
6693,D66,time-period/20240716,2024-07-16,D66,Democraten 66,D66,Democraten 66
6696,PVV,time-period/20240716,2024-07-16,PVV,Partij voor de Vrijheid,PVV,Partij voor de Vrijheid
6702,PiS,time-period/20240716,2024-07-16,PiS,Prawo i Sprawiedliwość,PiS,Prawo i Sprawiedliwość
6706,PS,time-period/20240716,2024-07-16,PS,Partido Socialista,PS,Partido Socialista
6709,PNL,time-period/20240716,2024-07-16,PNL,Partidul Naţional Liberal,PNL,Partidul Naţional Liberal
6718,V,time-period/20240716,2024-07-16,V,Vänsterpartiet,V,Vänsterpartiet
6721,SD,time-period/20240716,2024-07-16,SD,Socialni demokrati,SD,Socialni demokrati
6723,SMER-SD,time-period/20240716,2024-07-16,SMER-SD,SMER-Sociálna demokracia,SMER-SD,SMER-Sociálna demokracia
6728,PS,time-period/20240716,2024-07-16,PS,Parti socialiste,PS,Parti socialiste
6730,N.D.,time-period/20240716,2024-07-16,N.D.,Nea Demokratia,N.D.,Nea Demokratia
6731,SYRIZA,time-period/20240716,2024-07-16,SYRIZA,Coalition of the Radical Left,SYRIZA,Coalition of the Radical Left
6737,Fidesz-KDNP,time-period/20240716,2024-07-16,Fidesz-KDNP,Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt,Fidesz-KDNP,Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt
6741,FF,time-period/20240716,2024-07-16,FF,Fianna Fáil Party,FF,Fianna Fáil Party
6742,FG,time-period/20240716,2024-07-16,FG,Fine Gael Party,FG,Fine Gael Party
6744,FI,time-period/20240716,2024-07-16,Forza Italia,Forza Italia,Forza Italia,Forza Italia
6747,FPÖ,time-period/20240716,2024-07-16,FPÖ,Freiheitliche Partei Österreichs,FPÖ,Freiheitliche Partei Österreichs
6754,N-VA,time-period/20240716,2024-07-16,N-VA,Nieuw-Vlaamse Alliantie,N-VA,Nieuw-Vlaamse Alliantie
6755,CD&V,time-period/20240716,2024-07-16,CD&V,Christen-Democratisch & Vlaams,CD&V,Christen-Democratisch & Vlaams
6771,CDU,time-period/20240716,2024-07-16,CDU,Christlich Demokratische Union Deutschlands,CDU,Christlich Demokratische Union Deutschlands
6772,SPD,time-period/20240716,2024-07-16,SPD,Sozialdemokratische Partei Deutschlands,SPD,Sozialdemokratische Partei Deutschlands
6773,GRÜNE.,time-period/20240716,2024-07-16,GRÜNE.,Bündnis 90/Die Grünen,GRÜNE.,Bündnis 90/Die Grünen
6776,CSU,time-period/20240716,2024-07-16,CSU,Christlich-Soziale Union in Bayern e.V.,CSU,Christlich-Soziale Union in Bayern e.V.
6778,B,time-period/20240716,2024-07-16,B,Det Radikale Venstre,B,Det Radikale Venstre
6794,ANO 2011,time-period/20240716,2024-07-16,ANO 2011,ANO 2011,ANO 2011,ANO 2011
6798,Independent,time-period/20240716,2024-07-16,Independent,Independent,Independent,Independent
6802,AfD,time-period/20240716,2024-07-16,AfD,Alternative für Deutschland,AfD,Alternative für Deutschland
6817,PCP,time-period/20240716,2024-07-16,PCP,Partido Comunista Português,PCP,Partido Comunista Português
6827,Les Républicains,time-period/20240716,2024-07-16,Les Républicains,Les Républicains,Les Républicains,Les Républicains
6831,FdL,time-period/20240716,2024-07-16,Fratelli d'Italia,FRATELLI D' ITALIA,Fratelli d'Italia,FRATELLI D' ITALIA
6848,RN,time-period/20240716,2024-07-16,Rassemblement,Rassemblement national,Rassemblement,Rassemblement national
6878,LFI,time-period/20240716,2024-07-16,La France Insoumise,La France Insoumise,La France Insoumise,La France Insoumise
6896,E.Verde,time-period/20240716,2024-07-16,Europa Verde - Verdi,Europa Verde - Verdi,Europa Verde - Verdi,Europa Verde - Verdi
