id,activity_id,activity_date
eli/dl/event/MTG-PL-2025-11-12,MTG-PL-2025-11-12,2025-11-12
eli/dl/event/MTG-PL-2025-11-13,MTG-PL-2025-11-13,2025-11-13
eli/dl/event/MTG-PL-2025-11-24,MTG-PL-2025-11-24,2025-11-24
eli/dl/event/MTG-PL-2025-11-25,MTG-PL-2025-11-25,2025-11-25
eli/dl/event/MTG-PL-2025-11-26,MTG-PL-2025-11-26,2025-11-26
eli/dl/event/MTG-PL-2025-11-27,MTG-PL-2025-11-27,2025-11-27
eli/dl/event/MTG-PL-2025-12-15,MTG-PL-2025-12-15,2025-12-15
eli/dl/event/MTG-PL-2025-12-16,MTG-PL-2025-12-16,2025-12-16
eli/dl/event/MTG-PL-2025-12-17,MTG-PL-2025-12-17,2025-12-17
eli/dl/event/MTG-PL-2025-12-18,MTG-PL-2025-12-18,2025-12-18
