pers_id,country_id,polgroup_id,natparty_id
1294,2,7038,6758
1909,6,7038,6772
1917,6,7018,6776
1927,6,7018,6771
2152,16,7028,6826
22418,8,7018,6666
2268,27,7036,6718
22858,11,7035,6935
2341,6,7018,6771
23699,5,6561,6769
23781,22,7018,6703
23788,22,7037,6702
23816,14,7150,6737
23868,25,6561,6723
24922,2,7018,6760
24942,8,7028,6844
25758,6,6561,6850
28122,20,7018,6690
28150,14,7150,6737
28219,6,7018,6771
28223,6,7018,6771
28226,6,7018,6771
28229,6,7018,6776
28298,8,7038,6667
28307,23,7038,6706
28347,8,7038,6667
28390,8,7018,6666
28399,8,7018,6666
28400,8,7018,6666
28419,16,7038,6675
28615,19,7037,6685
28617,19,7018,6649
30123,11,7037,7876
30482,11,7036,6878
33998,24,7038,6708
34232,3,7038,6762
36392,16,7150,6870
37312,7,7038,6777
37324,24,7018,6709
38511,1,7150,6747
38542,27,7038,6712
39725,24,7018,6711
4267,6,7038,6772
4289,6,7018,6776
4395,16,7037,6831
4746,16,7037,6831
5392,21,7038,7952
5729,2,7038,6912
5736,11,7150,6848
840,18,7035,6682
101039,16,7150,6870
101585,7,7038,6777
103246,21,7150,6696
103381,6,7028,6773
40224,24,7038,6708
40599,10,7018,6726
58766,24,7028,6798
72779,11,7018,6827
86057,22,7018,6703
86793,6,7028,6773
88552,11,7150,6848
88882,24,7038,6708
91636,21,7038,7952
94649,11,7150,6848
95074,21,7018,6697
96653,25,6561,6723
96668,15,7018,6742
96675,27,7028,6717
96681,17,7038,6797
96697,17,7037,6679
96709,7,7035,6663
96711,11,7035,6935
96725,21,7028,7952
96752,6,7028,6773
96756,6,7018,6771
96761,6,7018,6771
96780,6,7018,6776
96787,16,7018,6676
96791,22,7018,6703
96808,8,7018,6666
96810,16,7037,6831
96811,8,7018,6666
96812,8,7038,6667
96826,14,7150,6737
96830,14,7150,6737
96833,6,7038,6772
96932,6,7038,6772
96933,26,7018,6719
96934,19,7018,6649
96936,8,7018,6666
96940,21,7035,6693
96998,1,7038,6746
