mep_name,family_name,given_name,pers_id,mandate
Kinga GÁL,Gál,Kinga,28150,10
Sergio BERLATO,Berlato,Sergio,4746,10
Ivaylo VALCHEV,Valchev,Ivaylo,257258,10
João OLIVEIRA,Oliveira,João,257083,10
Hanna GEDIN,Gedin,Hanna,257092,10
Bogdan RZOŃCA,Rzońca,Bogdan,197545,10
Ville NIINISTÖ,Niinistö,Ville,197802,10
Hannah NEUMANN,Neumann,Hannah,197464,10
Matjaž NEMEC,Nemec,Matjaž,233862,10
Younous OMARJEE,Omarjee,Younous,30482,10
Giorgio GORI,Gori,Giorgio,257102,10
Auke ZIJLSTRA,Zijlstra,Auke,103246,10
Ľuboš BLAHA,Blaha,Ľuboš,257005,10
Valentina PALMISANO,Palmisano,Valentina,257135,10
Şerban Dimitrie STURDZA,Sturdza,Şerban Dimitrie,257119,10
Marie DAUCHY,Dauchy,Marie,236050,10
Christophe GOMART,Gomart,Christophe,256919,10
Irene TINAGLI,Tinagli,Irene,197591,10
Juan Fernando LÓPEZ AGUILAR,López Aguilar,Juan Fernando,96812,10
Konstantinos ARVANITIS,Arvanitis,Konstantinos,197701,10
Mary KHAN,Khan,Mary,256957,10
Kris VAN DIJCK,Van Dijck,Kris,256884,10
Martin HÄUSLING,Häusling,Martin,96752,10
Ana VASCONCELOS,Vasconcelos,Ana,257061,10
Barry COWEN,Cowen,Barry,257297,10
Petra STEGER,Steger,Petra,220897,10
Alexandra MEHNERT,Mehnert,Alexandra,256980,10
Christophe BAY,Bay,Christophe,261797,10
Maria WALSH,Walsh,Maria,197863,10
Inese VAIDERE,Vaidere,Inese,28617,10
Ondřej KOVAŘÍK,Kovařík,Ondřej,118949,10
Vangelis MEIMARAKIS,Meimarakis,Vangelis,197662,10
René REPASI,Repasi,René,229839,10
Raquel GARCÍA HERMIDA-VAN DER WALLE,García Hermida-Van Der Walle,Raquel,256970,10
Dominik TARCZYŃSKI,Tarczyński,Dominik,204346,10
Salvatore DE MEO,De Meo,Salvatore,204333,10
Sabine VERHEYEN,Verheyen,Sabine,96756,10
Cristina GUARDA,Guarda,Cristina,257130,10
Elena KOUNTOURA,Kountoura,Elena,197699,10
Christophe CLERGEAU,Clergeau,Christophe,245018,10
Lara MAGONI,Magoni,Lara,257149,10
Nikolas FARANTOURIS,Farantouris,Nikolas,256823,10
Isilda GOMES,Gomes,Isilda,257075,10
Axel VOSS,Voss,Axel,96761,10
Sigrid FRIIS,Friis,Sigrid,257038,10
Siegbert Frank DROESE,Droese,Siegbert Frank,256949,10
Giuseppe ANTOCI,Antoci,Giuseppe,257138,10
Liesbet SOMMEN,Sommen,Liesbet,256889,10
Cecilia STRADA,Strada,Cecilia,257101,10
Elena DONAZZAN,Donazzan,Elena,257095,10
Katrin LANGENSIEPEN,Langensiepen,Katrin,197461,10
Monika HOHLMEIER,Hohlmeier,Monika,96780,10
Ioan-Rareş BOGDAN,Bogdan,Ioan-Rareş,197636,10
Sakis ARNAOUTOGLOU,Arnaoutoglou,Sakis,256829,10
Péter MAGYAR,Magyar,Péter,256868,10
Lukas MANDL,Mandl,Lukas,190713,10
Jussi SARAMO,Saramo,Jussi,127766,10
Sara MATTHIEU,Matthieu,Sara,208722,10
Pär HOLMGREN,Holmgren,Pär,197398,10
Michael VON DER SCHULENBURG,von der Schulenburg,Michael,256966,10
Raffaele TOPO,Topo,Raffaele,257148,10
Bogdan Andrzej ZDROJEWSKI,Zdrojewski,Bogdan Andrzej,124893,10
Claire FITA,Fita,Claire,256906,10
Elsi KATAINEN,Katainen,Elsi,191693,10
Karin KARLSBRO,Karlsbro,Karin,197401,10
Asger CHRISTENSEN,Christensen,Asger,197558,10
Lucia ANNUNZIATA,Annunziata,Lucia,257123,10
Bernard GUETTA,Guetta,Bernard,197543,10
Annamária VICSEK,Vicsek,Annamária,256859,10
Daniel FREUND,Freund,Daniel,106936,10
Marko VEŠLIGAJ,Vešligaj,Marko,260035,10
Victor NEGRESCU,Negrescu,Victor,88882,10
Maria OHISALO,Ohisalo,Maria,198076,10
Anna ZALEWSKA,Zalewska,Anna,197572,10
Romana JERKOVIĆ,Jerković,Romana,112747,10
Marlena MALĄG,Maląg,Marlena,257077,10
Thijs REUTEN,Reuten,Thijs,218347,10
