country_id,country_iso3c,country_name_en,polgroup_id,political_group,natparty_id,national_party,national_party_long
24,ROU,Romania,6561,NI,6645,SOS RO,S.O.S. România
25,SVK,Slovakia,6561,NI,6723,SMER-SD,SMER-Sociálna demokracia
12,GRC,Greece,6561,NI,6733,KKE,Communist Party of Greece
3,BGR,Bulgaria,6561,NI,6763,DPS,Movement for Rights and Freedoms
5,CZE,Czechia,6561,NI,6769,KSČM,Komunistická strana Čech a Moravy
6,DEU,Germany,6561,NI,6802,AfD,Alternative für Deutschland
6,DEU,Germany,6561,NI,6803,Die PARTEI,Die PARTEI
6,DEU,Germany,6561,NI,6823,Independent,Independent
5,CZE,Czechia,6561,NI,6843,Ind.,Independent
6,DEU,Germany,6561,NI,6850,BSW,Bündnis Sahra Wagenknecht – Vernunft und Gerechtigkeit
22,POL,Poland,6561,NI,6856,Konfederacja,Konfederacja Wolność i Niepodległość
25,SVK,Slovakia,6561,NI,6895,HREP,Hnutie Republika
8,ESP,Spain,6561,NI,7009,SALF,Se Acabó la Fiesta
25,SVK,Slovakia,6561,NI,7010,Hlas–SD,Hlas – sociálna demokracia
12,GRC,Greece,6561,NI,7011,NIKI,Dimokratikó Patriotikó Kínima «NIKI»
12,GRC,Greece,6561,NI,7012,Plefsi Eleftherias,Plefsi Eleftherias
4,CYP,Cyprus,6561,NI,7019,Independent,Independent
11,FRA,France,6561,NI,7023,Sans parti,Sans parti
6,DEU,Germany,6561,NI,7026,PdF,Partei des Fortschritts
22,POL,Poland,6561,NI,7029,KKP,Konfederacja Korony Polskiej
18,LUX,Luxembourg,6561,NI,7031,ADR,Alternativ Demokratesch Reformpartei
24,ROU,Romania,6561,NI,7978,DsF,Dreptate și Frăție
22,POL,Poland,7018,PPE,,,
21,NLD,Netherlands,7018,PPE,6639,NSC,Nieuw Sociaal Contract
23,PRT,Portugal,7018,PPE,6640,AD,Aliança Democrática
19,LVA,Latvia,7018,PPE,6649,JV,Jaunā Vienotība
8,ESP,Spain,7018,PPE,6666,PP,Partido Popular
16,ITA,Italy,7018,PPE,6676,SVP,Südtiroler Volkspartei
17,LTU,Lithuania,7018,PPE,6678,TS-LKD,Tėvynės sąjunga-Lietuvos krikščionys demokratai
18,LUX,Luxembourg,7018,PPE,6683,CSV,Parti chrétien social luxembourgeois
20,MLT,Malta,7018,PPE,6690,PN,Partit Nazzjonalista
